screening_date,company,symbol,exchange,listing_board,sector,industry,current_price_inr,price_date,market_cap_inr_cr,market_cap_date,liquidity_metric_name,liquidity_value_inr_cr,liquidity_period,eligible_flag,exclusion_code,exclusion_reason,primary_archetype,classification_rationale,secondary_tags,technical_stage,technical_data_date,revenue_cagr_5y_pct,normalized_eps_cagr_5y_pct,latest_roce_or_roe_pct,median_roce_or_roe_5y_pct,net_debt_to_equity,cfo_pat_period,cfo_pat_ratio,preliminary_valuation_method,preliminary_valuation_value,preliminary_priority_score,inclusion_reason,key_disqualifying_risk,data_quality_confidence,primary_source_ids,secondary_source_ids,phase2_priority,phase2_questions,required_primary_documents,known_data_gaps
2026-08-11,Jamna Auto Industries Ltd,JAMNAAUTO,NSE,Main Board,Automobile and Auto Components,Automobile and Auto Components,128.0,2026-08-10,5134.0,2026-08-10,3-month median daily traded value,28.446,13-week median of weekly traded value / 5,1,,,Quality compounder,5y median ROCE 27%; 5y revenue CAGR 19%; 5y EPS CAGR 26%; cumulative CFO/PAT 1.37,Earnings-upgrade candidate|Capex commissioning|Operating-leverage inflection|Peak-cycle risk,Early Stage 2,2026-08-10,19.34118492340926,25.862208995229665,27.5,27.0,0.010462074978204011,Mar 2022-Mar 2026,1.3664864864864865,Trailing P/E vs 3-5y EPS CAGR (preliminary),21.2,90.8,5y median ROCE 27%; 5y revenue CAGR 19%; 5y EPS CAGR 26%; cumulative CFO/PAT 1.37,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,JAMNAAUTO-SCR-01|JAMNAAUTO-PXW-01,High,"Is the 5y median ROCE sustained on incremental capital, or inflated by a legacy asset base? | What is the reinvestment runway, and has capital allocation stayed inside the core? | Does cumulative CFO/PAT hold above 0.8 once working-capital swings are normalised?",Latest annual report (MD&A + segment note); last 4 quarterly results; latest investor presentation; last 2 earnings-call transcripts,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Olectra Greentech Ltd,OLECTRA,NSE,Main Board,Automobile and Auto Components,Automobile and Auto Components,1365.0,2026-08-10,11206.0,2026-08-10,3-month median daily traded value,60.692,13-week median of weekly traded value / 5,1,,,High-growth company,3y revenue CAGR 28%; 3y EPS CAGR 39%; latest quarter revenue +86% YoY,Earnings-upgrade candidate|Capex commissioning,Early Stage 2,2026-08-10,52.42503449163465,85.66323903813637,21.0,15.0,0.30944625407166126,Mar 2022-Mar 2026,0.998,Trailing P/E vs 3-5y EPS CAGR (preliminary),63.1,86.9,3y revenue CAGR 28%; 3y EPS CAGR 39%; latest quarter revenue +86% YoY,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,OLECTRA-SCR-01|OLECTRA-PXW-01,High,"Is forward growth contracted/visible or extrapolated from a favourable base? | Do unit economics hold as mix shifts, and is growth funded without dilution? | How much of EPS growth is operating vs. below-the-line or tax-rate driven?",Last 4 quarterly results; latest investor presentation; earnings-call transcripts; annual report share-capital and ESOP notes,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Chennai Petroleum Corporation Ltd,CHENNPETRO,NSE,Main Board,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1245.0,2026-08-10,18543.0,2026-08-10,3-month median daily traded value,119.806,13-week median of weekly traded value / 5,1,,,Mature value/yield company,dividend yield 5.0%; FCF positive in 5 of last 5 years,Operating-leverage inflection|PEAD candidate|Peak-cycle risk,Mature/extended Stage 2,2026-08-10,23.22967168362733,64.53341888496962,34.9,35.0,0.17679359078224863,Mar 2022-Mar 2026,1.2576283573908278,Trailing P/E vs 3-5y EPS CAGR (preliminary),4.45,86.5,dividend yield 5.0%; FCF positive in 5 of last 5 years,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,CHENNPETRO-SCR-01|CHENNPETRO-PXW-01,High,"Is the dividend covered by normalised FCF after maintenance capex, not by peak earnings? | What structural-decline risk exists in the core end-market? | Is management willing to keep returning capital, on what stated policy?",Annual report cash-flow statement and dividend policy; quarterly results; capex guidance,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Kirloskar Pneumatic Company Ltd,KIRLPNU,NSE,Main Board,Capital Goods,Capital Goods,1487.0,2026-08-10,9651.0,2026-08-10,3-month median daily traded value,23.327,13-week median of weekly traded value / 5,1,,,High-growth company,3y revenue CAGR 59%; 3y EPS CAGR 142%; latest quarter revenue +84% YoY,Earnings-upgrade candidate|Operating-leverage inflection|Peak-cycle risk,Early Stage 2,2026-08-10,27.13597423658276,39.06937865674076,29.6,17.5,0.0024019215372297837,Mar 2014-Mar 2026,1.0179533213644525,Trailing P/E vs 3-5y EPS CAGR (preliminary),36.7,86.4,3y revenue CAGR 59%; 3y EPS CAGR 142%; latest quarter revenue +84% YoY,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,KIRLPNU-SCR-01|KIRLPNU-PXW-01,High,"Is forward growth contracted/visible or extrapolated from a favourable base? | Do unit economics hold as mix shifts, and is growth funded without dilution? | How much of EPS growth is operating vs. below-the-line or tax-rate driven?",Last 4 quarterly results; latest investor presentation; earnings-call transcripts; annual report share-capital and ESOP notes,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,SKM Egg Products Export (India) Ltd,SKMEGGPROD,NSE,Main Board,Not disclosed,Not disclosed,252.0,2026-08-10,1335.0,2026-08-10,3-month median daily traded value,24.769,13-week median of weekly traded value / 5,1,,,Quality compounder,5y median ROCE 30%; 5y revenue CAGR 23%; 5y EPS CAGR 45%; cumulative CFO/PAT 0.94,Operating-leverage inflection|PEAD candidate,Early Stage 2,2026-08-10,23.345067791206397,44.84434672195192,30.0,30.0,0.3594936708860759,Mar 2022-Mar 2026,0.9413680781758957,Trailing P/E vs 3-5y EPS CAGR (preliminary),12.0,85.5,5y median ROCE 30%; 5y revenue CAGR 23%; 5y EPS CAGR 45%; cumulative CFO/PAT 0.94,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,SKMEGGPROD-SCR-01|SKMEGGPROD-PXW-01,High,"Is the 5y median ROCE sustained on incremental capital, or inflated by a legacy asset base? | What is the reinvestment runway, and has capital allocation stayed inside the core? | Does cumulative CFO/PAT hold above 0.8 once working-capital swings are normalised?",Latest annual report (MD&A + segment note); last 4 quarterly results; latest investor presentation; last 2 earnings-call transcripts,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Gujarat Pipavav Port Ltd,GPPL,NSE,Main Board,Services,Services,150.0,2026-08-10,7277.0,2026-08-10,3-month median daily traded value,16.032,13-week median of weekly traded value / 5,1,,,Mature value/yield company,dividend yield 3.6%; FCF positive in 5 of last 5 years,Earnings-upgrade candidate|Capex commissioning|Operating-leverage inflection|Peak-cycle risk,Stage 4 decline,2026-08-10,9.57738119279876,18.355625186230352,28.0,23.0,0.015494137353433836,Mar 2022-Mar 2026,1.2443310657596371,Trailing P/E vs 3-5y EPS CAGR (preliminary),14.5,84.7,dividend yield 3.6%; FCF positive in 5 of last 5 years,Technically in Stage 4 decline,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,GPPL-SCR-01|GPPL-PXW-01,High,"Is the dividend covered by normalised FCF after maintenance capex, not by peak earnings? | What structural-decline risk exists in the core end-market? | Is management willing to keep returning capital, on what stated policy?",Annual report cash-flow statement and dividend policy; quarterly results; capex guidance,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Epigral Ltd,EPIGRAL,NSE,Main Board,Not disclosed,Not disclosed,1127.0,2026-08-10,4863.0,2026-08-10,3-month median daily traded value,3.624,13-week median of weekly traded value / 5,1,,,Quality compounder,5y median ROCE 25%; 5y revenue CAGR 25%; 5y EPS CAGR 26%; cumulative CFO/PAT 1.46,Earnings-upgrade candidate|Capex commissioning|Margin-recovery candidate,Early Stage 1,2026-08-10,24.971258196917855,25.74173315694601,15.5,25.0,0.2575416479063485,Mar 2022-Mar 2026,1.4644772117962466,Trailing P/E vs 3-5y EPS CAGR (preliminary),18.0,83.9,5y median ROCE 25%; 5y revenue CAGR 25%; 5y EPS CAGR 26%; cumulative CFO/PAT 1.46,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,EPIGRAL-SCR-01|EPIGRAL-PXW-01,High,"Is the 5y median ROCE sustained on incremental capital, or inflated by a legacy asset base? | What is the reinvestment runway, and has capital allocation stayed inside the core? | Does cumulative CFO/PAT hold above 0.8 once working-capital swings are normalised?",Latest annual report (MD&A + segment note); last 4 quarterly results; latest investor presentation; last 2 earnings-call transcripts,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Sharda Cropchem Ltd,SHARDACROP,NSE,Main Board,Chemicals,Chemicals,813.0,2026-08-10,7327.0,2026-08-10,3-month median daily traded value,20.375,13-week median of weekly traded value / 5,1,,,Mature value/yield company,dividend yield 1.9%; FCF positive in 5 of last 5 years,Earnings-upgrade candidate|Capex commissioning|Operating-leverage inflection|Peak-cycle risk,Stage 3 distribution,2026-08-10,17.06627257653899,24.333490673143675,30.2,21.0,0.0,Mar 2022-Mar 2026,1.2857142857142858,Trailing P/E vs 3-5y EPS CAGR (preliminary),11.7,83.8,dividend yield 1.9%; FCF positive in 5 of last 5 years,Technically in Stage 3 distribution,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,SHARDACROP-SCR-01|SHARDACROP-PXW-01,High,"Is the dividend covered by normalised FCF after maintenance capex, not by peak earnings? | What structural-decline risk exists in the core end-market? | Is management willing to keep returning capital, on what stated policy?",Annual report cash-flow statement and dividend policy; quarterly results; capex guidance,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,NSE,Main Board,Chemicals,Chemicals,543.0,2026-08-10,7981.0,2026-08-10,3-month median daily traded value,17.918,13-week median of weekly traded value / 5,1,,,Cyclical recovery,OPM 17.0pp below 5y peak; PAT 53% below 5y peak; quarterly OPM +13.0pp YoY - margin inflecting,Earnings-upgrade candidate|Capex commissioning|Operating-leverage inflection|Margin-recovery candidate|Temporary setback,Early Stage 2,2026-08-10,8.670382006314359,4.165432918024825,12.0,12.0,0.0006582556226001097,Mar 2022-Mar 2026,0.9105211406096362,Trailing P/E vs 3-5y EPS CAGR (preliminary),7.69,83.3,OPM 17.0pp below 5y peak; PAT 53% below 5y peak; quarterly OPM +13.0pp YoY - margin inflecting,Other income >35% of PBT - EPS provisional,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,GNFC-SCR-01|GNFC-PXW-01,High,"Where is the cycle versus mid-cycle margin, and what capacity is still being added industry-wide? | Is the improvement demand-led or a one-off inventory/input-cost effect? | Does the balance sheet survive another 4-6 quarters at trough spreads?",Annual report segment/realisation data; quarterly results; industry capacity data; credit-rating rationale,Other income >35% of PBT - EPS provisional; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,SEAMEC Ltd,SEAMECLTD,NSE,Main Board,Not disclosed,Not disclosed,1514.0,2026-08-10,3846.0,2026-08-10,3-month median daily traded value,6.677,13-week median of weekly traded value / 5,1,,,High-growth company,3y revenue CAGR 30%; 3y EPS CAGR 97%; latest quarter revenue +55% YoY,Earnings-upgrade candidate|Operating-leverage inflection|Peak-cycle risk,Early Stage 2,2026-08-10,29.93937245822609,20.59934189149939,20.0,10.0,0.27132974634896234,Mar 2022-Mar 2026,1.5783132530120483,Trailing P/E vs 3-5y EPS CAGR (preliminary),15.3,83.1,3y revenue CAGR 30%; 3y EPS CAGR 97%; latest quarter revenue +55% YoY,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,SEAMECLTD-SCR-01|SEAMECLTD-PXW-01,High,"Is forward growth contracted/visible or extrapolated from a favourable base? | Do unit economics hold as mix shifts, and is growth funded without dilution? | How much of EPS growth is operating vs. below-the-line or tax-rate driven?",Last 4 quarterly results; latest investor presentation; earnings-call transcripts; annual report share-capital and ESOP notes,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
