screening_date,company,symbol,exchange,listing_board,sector,industry,current_price_inr,price_date,market_cap_inr_cr,market_cap_date,liquidity_metric_name,liquidity_value_inr_cr,liquidity_period,eligible_flag,exclusion_code,exclusion_reason,primary_archetype,classification_rationale,secondary_tags,technical_stage,technical_data_date,revenue_cagr_5y_pct,normalized_eps_cagr_5y_pct,latest_roce_or_roe_pct,median_roce_or_roe_5y_pct,net_debt_to_equity,cfo_pat_period,cfo_pat_ratio,preliminary_valuation_method,preliminary_valuation_value,preliminary_priority_score,inclusion_reason,key_disqualifying_risk,data_quality_confidence,primary_source_ids,secondary_source_ids
2026-08-11,20 Microns Ltd,20MICRONS,NSE,Main Board,Not disclosed,Not disclosed,189.0,2026-08-10,667.0,2026-08-10,3-month median daily traded value,3.996,13-week median of weekly traded value / 5,0,EX_MCAP_BELOW_BAND,"Market cap INR 667 cr < 1,000 cr",,,,Early Stage 1,2026-08-10,14.535628317125958,23.81116132628234,17.3,19.0,0.32231404958677684,Mar 2022-Mar 2026,1.099236641221374,Trailing P/E vs 3-5y EPS CAGR (preliminary),9.8,,,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,20MICRONS-SCR-01|20MICRONS-PXW-01
2026-08-11,Twenty First Century Management Services Ltd,21STCENMGM,NSE,Main Board,Not disclosed,Not disclosed,41.0,2026-08-10,43.1,2026-08-10,3-month median daily traded value,0.012,13-week median of weekly traded value / 5,0,EX_MCAP_BELOW_BAND,"Market cap INR 43 cr < 1,000 cr",,,,Early Stage 1,2026-08-10,,,-57.0,38.0,0.0,Mar 2022-Mar 2026,1.2352941176470589,Trailing P/E vs 3-5y EPS CAGR (preliminary),,,,None identified at Phase 1 depth,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,21STCENMGM-SCR-01|21STCENMGM-PXW-01
2026-08-11,360 ONE WAM Ltd,360ONE,NSE,Main Board,Financial Services,Financial Services,1165.0,2026-08-10,47386.0,2026-08-10,3-month median daily traded value,116.318,13-week median of weekly traded value / 5,1,,,Financial compounder,ROE 14.4%; 5y EPS CAGR 23%,Demerger/SOTP unlocking|Governance risk,Mature Stage 1 base,2026-08-10,21.40317120344959,23.314032361039928,14.4,19.0,,Mar 2022-Mar 2026,,P/B vs ROE (preliminary),37.6,44.9,ROE 14.4%; 5y EPS CAGR 23%,Equity capital up 128% in 5y - dilution,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,360ONE-SCR-01|360ONE-PXW-01
2026-08-11,3B Blackbio DX Ltd,3BBLACKBIO,NSE,Main Board,Not disclosed,Not disclosed,1238.0,2026-08-10,1062.0,2026-08-10,3-month median daily traded value,,insufficient bars,0,EX_NO_PRICE_HISTORY,Fewer than 40 adjusted weekly bars,,,,Indeterminate-insufficient adjusted history,,-8.955755285405564,-14.754439580276236,25.5,25.0,0.009230769230769232,Mar 2022-Mar 2026,0.9040404040404041,Trailing P/E vs 3-5y EPS CAGR (preliminary),18.1,,,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,3BBLACKBIO-SCR-01|3BBLACKBIO-PXW-01
2026-08-11,3i Infotech Ltd,3IINFOLTD,NSE,Main Board,Not disclosed,Not disclosed,27.4,2026-08-10,570.0,2026-08-10,3-month median daily traded value,0.6,13-week median of weekly traded value / 5,0,EX_MCAP_BELOW_BAND,"Market cap INR 570 cr < 1,000 cr",,,,Mature/extended Stage 2,2026-08-10,2.6179154775372693,-2.8895013832051397,13.0,3.0,0.16272965879265092,Mar 2022-Mar 2026,-0.13548387096774195,Trailing P/E vs 3-5y EPS CAGR (preliminary),15.1,,,Weak cash conversion (cumulative CFO/PAT below 0.6),Low,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,3IINFOLTD-SCR-01|3IINFOLTD-PXW-01
2026-08-11,3M India Ltd,3MINDIA,NSE,Main Board,Diversified,Diversified,36076.0,2026-08-10,40703.0,2026-08-10,3-month median daily traded value,12.995,13-week median of weekly traded value / 5,1,,,High-growth company,3y EPS CAGR 53%,Peak-cycle risk,Mature Stage 1 base,2026-08-10,6.784202865950251,9.763128266206444,40.5,27.0,0.008383791336748951,Mar 2020-Mar 2024,1.117877094972067,Trailing P/E vs 3-5y EPS CAGR (preliminary),66.6,66.6,3y EPS CAGR 53%,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,3MINDIA-SCR-01|3MINDIA-PXW-01
2026-08-11,3P Land Holdings Ltd,3PLAND,NSE,Main Board,Not disclosed,Not disclosed,31.4,2026-08-10,56.4,2026-08-10,3-month median daily traded value,0.011,13-week median of weekly traded value / 5,0,EX_MCAP_BELOW_BAND,"Market cap INR 56 cr < 1,000 cr",,,,Stage 4 decline,2026-08-10,27.063131255395966,,2.38,2.77,0.0,Mar 2022-Mar 2026,0.1459521094640821,Trailing P/E vs 3-5y EPS CAGR (preliminary),24.9,,,Weak cash conversion (cumulative CFO/PAT below 0.6),High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,3PLAND-SCR-01|3PLAND-PXW-01
2026-08-11,5paisa Capital Ltd,5PAISA,NSE,Main Board,Not disclosed,Not disclosed,385.0,2026-08-10,1805.0,2026-08-10,3-month median daily traded value,1.576,13-week median of weekly traded value / 5,1,,,Event-driven or special situation,Open offer / control change disclosed 12-Mar-2026 17:36:40,Regulatory catalyst|Governance risk|PEAD candidate|Value-trap risk,Early Stage 2,2026-08-10,10.41372794430342,19.683999505668616,9.93,12.0,0.5839753466872111,Mar 2022-Mar 2026,-0.9553571428571429,Trailing P/E vs 3-5y EPS CAGR (preliminary),40.9,42.3,Open offer / control change disclosed 12-Mar-2026 17:36:40,Weak cash conversion (cumulative CFO/PAT below 0.6),High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,5PAISA-SCR-01|5PAISA-PXW-01
2026-08-11,63 Moons Technologies Ltd,63MOONS,NSE,Main Board,Not disclosed,Not disclosed,857.0,2026-08-10,3952.0,2026-08-10,3-month median daily traded value,10.67,13-week median of weekly traded value / 5,1,,,Turnaround,loss-making or sub-scale margin base; quarterly OPM +123.0pp YoY,Operating-leverage inflection|Margin-recovery candidate|Value-trap risk,Early Stage 1,2026-08-10,5.789648870565345,,-3.71,-2.0,0.0008445945945945946,Mar 2022-Mar 2026,-16.153846153846153,Trailing P/E vs 3-5y EPS CAGR (preliminary),,50.3,loss-making or sub-scale margin base; quarterly OPM +123.0pp YoY,Weak cash conversion (cumulative CFO/PAT below 0.6),High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,63MOONS-SCR-01|63MOONS-PXW-01
2026-08-11,A2Z Infra Engineering Ltd,A2ZINFRA,NSE,Main Board,Not disclosed,Not disclosed,16.7,2026-08-10,301.0,2026-08-10,3-month median daily traded value,0.327,13-week median of weekly traded value / 5,0,EX_MCAP_BELOW_BAND,"Market cap INR 301 cr < 1,000 cr",,,,Early Stage 1,2026-08-10,-1.4383780783955857,,16.3,7.0,1.9795918367346939,Mar 2022-Mar 2026,-0.7328990228013029,Trailing P/E vs 3-5y EPS CAGR (preliminary),41.4,,,Weak cash conversion (cumulative CFO/PAT below 0.6),Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,A2ZINFRA-SCR-01|A2ZINFRA-PXW-01
2026-08-11,AAA Technologies Ltd,AAATECH,NSE,Main Board,Not disclosed,Not disclosed,99.48,2026-08-10,,2026-08-10,3-month median daily traded value,0.167,13-week median of weekly traded value / 5,0,EX_NO_MCAP,Market capitalisation not available from any source,,,,Mature Stage 1 base,2026-08-10,,,,,,,,Trailing P/E vs 3-5y EPS CAGR (preliminary),,,,Promoter stake down 37.1pp over 4 quarters,Low,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,AAATECH-SCR-01|AAATECH-PXW-01
2026-08-11,Aadhar Housing Finance Ltd,AADHARHFC,NSE,Main Board,Financial Services,Financial Services,502.0,2026-08-10,21948.0,2026-08-10,3-month median daily traded value,17.494,13-week median of weekly traded value / 5,1,,,Financial compounder,ROE 15.9%; 5y EPS CAGR 24%,Regulatory catalyst|Peak-cycle risk|Governance risk,Mature Stage 1 base,2026-08-10,18.51797762987648,23.8814114047321,15.9,17.0,,Mar 2022-Mar 2026,,P/B vs ROE (preliminary),19.0,64.9,ROE 15.9%; 5y EPS CAGR 24%,Promoter stake down 10.8pp over 4 quarters,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,AADHARHFC-SCR-01|AADHARHFC-PXW-01
2026-08-11,Aakash Exploration Services Ltd,AAKASH,NSE,Main Board,Not disclosed,Not disclosed,9.04,2026-08-10,91.6,2026-08-10,3-month median daily traded value,0.117,13-week median of weekly traded value / 5,0,EX_MCAP_BELOW_BAND,"Market cap INR 92 cr < 1,000 cr",,,,Early Stage 2,2026-08-10,,,12.6,13.0,0.23333333333333334,,,Trailing P/E vs 3-5y EPS CAGR (preliminary),18.0,,,None identified at Phase 1 depth,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,AAKASH-SCR-01|AAKASH-PXW-01
