source_id,company,symbol,document_type,title,issuer,published_date,period_covered,url,primary_or_secondary,accessed_date,claim_or_metric_supported,notes
NSE-EQL-2026-08-10,ALL,ALL,Exchange master list,EQUITY_L.csv - securities available for trading,National Stock Exchange of India,2026-08-11,2026-08-11,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,Primary,2026-08-11,"Universe definition; listed symbols, ISIN, listing date, face value","2,410 rows; 2,086 with series EQ"
NSE-BHAV-2026-08-10,ALL,ALL,Exchange bhavcopy,BhavCopy_NSE_CM full UDiFF bhavcopy 2026-08-10,National Stock Exchange of India,2026-08-11,2026-08-11,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20260810_F_0000.csv.zip,Primary,2026-08-11,Traded close price and turnover on the price date,"2,428 series-EQ rows"
NSE-IDX-TOTALMKT-2026-08-10,ALL,ALL,Index constituent list,Nifty Total Market index constituents,NSE Indices,2026-08-11,2026-08-11,https://nsearchives.nseindia.com/content/indices/ind_niftytotalmarket_list.csv,Primary,2026-08-11,Industry/sector classification,752 constituents
NSE-IDX-MICRO250-2026-08-10,ALL,ALL,Index constituent list,Nifty Microcap 250 index constituents,NSE Indices,2026-08-11,2026-08-11,https://nsearchives.nseindia.com/content/indices/ind_niftymicrocap250_list.csv,Primary,2026-08-11,Industry/sector classification,252 constituents
NSE-IDX-N500-2026-08-10,ALL,ALL,Index constituent list,Nifty 500 index constituents,NSE Indices,2026-08-11,2026-08-11,https://nsearchives.nseindia.com/content/indices/ind_nifty500list.csv,Primary,2026-08-11,Industry/sector classification,500 constituents
NSE-ANN-2025-05-2026-08,ALL,ALL,Corporate announcements,NSE corporate announcements (equities),National Stock Exchange of India,2026-08-11,2025-05-17 to 2026-08-10,https://www.nseindia.com/companies-listing/corporate-filings-announcements,Primary,2026-08-11,Event-driven archetype; demerger/open-offer/asset-sale/governance flags,"233,118 announcements parsed; 1,556 event flags across 1,002 symbols"
YF-BENCH-N500,Nifty 500 index,^CRSLDX,Market data,Nifty 500 adjusted weekly series,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/%5ECRSLDX?range=5y&interval=1wk,Secondary,2026-08-11,Relative-strength benchmark for Weinstein stage analysis,262 weekly bars
20MICRONS-SCR-01,20 Microns Ltd,20MICRONS,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/20MICRONS/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
20MICRONS-PXW-01,20 Microns Ltd,20MICRONS,Market data,20MICRONS.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/20MICRONS.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
21STCENMGM-SCR-01,Twenty First Century Management Services Ltd,21STCENMGM,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/21STCENMGM/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
21STCENMGM-PXW-01,Twenty First Century Management Services Ltd,21STCENMGM,Market data,21STCENMGM.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/21STCENMGM.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
360ONE-SCR-01,360 ONE WAM Ltd,360ONE,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/360ONE/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
360ONE-PXW-01,360 ONE WAM Ltd,360ONE,Market data,360ONE.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/360ONE.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
3IINFOLTD-SCR-01,3i Infotech Ltd,3IINFOLTD,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/3IINFOLTD/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
3IINFOLTD-PXW-01,3i Infotech Ltd,3IINFOLTD,Market data,3IINFOLTD.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/3IINFOLTD.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
3MINDIA-SCR-01,3M India Ltd,3MINDIA,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/3MINDIA/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
3MINDIA-PXW-01,3M India Ltd,3MINDIA,Market data,3MINDIA.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/3MINDIA.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
3PLAND-SCR-01,3P Land Holdings Ltd,3PLAND,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/3PLAND/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
3PLAND-PXW-01,3P Land Holdings Ltd,3PLAND,Market data,3PLAND.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/3PLAND.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
5PAISA-SCR-01,5paisa Capital Ltd,5PAISA,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/5PAISA/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
5PAISA-PXW-01,5paisa Capital Ltd,5PAISA,Market data,5PAISA.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/5PAISA.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
63MOONS-SCR-01,63 Moons Technologies Ltd,63MOONS,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/63MOONS/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
63MOONS-PXW-01,63 Moons Technologies Ltd,63MOONS,Market data,63MOONS.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/63MOONS.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
A2ZINFRA-SCR-01,A2Z Infra Engineering Ltd,A2ZINFRA,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/A2ZINFRA/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
A2ZINFRA-PXW-01,A2Z Infra Engineering Ltd,A2ZINFRA,Market data,A2ZINFRA.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/A2ZINFRA.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
AADHARHFC-SCR-01,Aadhar Housing Finance Ltd,AADHARHFC,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/AADHARHFC/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
AADHARHFC-PXW-01,Aadhar Housing Finance Ltd,AADHARHFC,Market data,AADHARHFC.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/AADHARHFC.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
AAKASH-SCR-01,Aakash Exploration Services Ltd,AAKASH,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/AAKASH/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
AAKASH-PXW-01,Aakash Exploration Services Ltd,AAKASH,Market data,AAKASH.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/AAKASH.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
AARTIDRUGS-SCR-01,Aarti Drugs Ltd,AARTIDRUGS,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/AARTIDRUGS/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
AARTIDRUGS-PXW-01,Aarti Drugs Ltd,AARTIDRUGS,Market data,AARTIDRUGS.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/AARTIDRUGS.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
AARTIIND-SCR-01,Aarti Industries Ltd,AARTIIND,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/AARTIIND/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
AARTIIND-PXW-01,Aarti Industries Ltd,AARTIIND,Market data,AARTIIND.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/AARTIIND.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
AARTIPHARM-SCR-01,Aarti Pharmalabs Ltd,AARTIPHARM,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/AARTIPHARM/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
AARTIPHARM-PXW-01,Aarti Pharmalabs Ltd,AARTIPHARM,Market data,AARTIPHARM.NS split/dividend-adjusted weekly OHLCV,Yahoo Finance,2026-08-11,2021-08 to 2026-08,https://query1.finance.yahoo.com/v8/finance/chart/AARTIPHARM.NS?range=5y&interval=1wk,Secondary,2026-08-11,"Weinstein stage, 30/40w MA, relative strength, base, volume, liquidity",adjclose used for all stage arithmetic
AARTISURF-SCR-01,Aarti Surfactants Ltd,AARTISURF,Aggregated financial statements,screener.in company page (n/a basis),screener.in,2026-08-11,,https://www.screener.in/company/AARTISURF/,Secondary,2026-08-11,"Annual/quarterly P&L, balance sheet, cash flow, ratios, shareholding",Aggregator of audited filings - material claims to be confirmed against filings in Phase 2
